特徴量,向き,説明,後2週%,後1月%,後2月%,後半年%,後1年%,勝ち年,年数,週数
時価総額億,小さい順,規模,0.7586175,1.8497367,3.3103836,6.0683966,10.621077,7,8,413
株価,小さい順,株価の水準,0.8476878,1.8493026,3.308521,13.162238,36.650585,7,8,413
12月線の向き,小さい順,月足の傾き,0.48491234,0.9645097,2.068027,7.927692,16.807089,4,7,349
3年騰落%,小さい順,月足 全体の傾向,0.62344074,1.0320442,1.653961,4.8213615,6.955411,3,5,254
52週騰落%,小さい順,月足 過去1年の傾向,0.7914463,1.1879121,1.4671128,5.53942,16.201412,4,7,362
12月線乖離%,小さい順,月足の位置,0.8075123,1.1880925,1.2919207,3.0915294,13.328363,4,7,362
出来高比,小さい順,出来高の増減,-0.1705603,0.068353534,1.1247525,1.3929758,4.7639217,7,8,412
売買代金20日,小さい順,流動性,0.19911015,0.44517195,1.0284004,2.430603,3.6753712,7,8,413
RSI14,大きい順,過熱・過冷,0.3159414,0.89335644,0.90317893,1.3426619,1.8618317,7,8,413
5日線乖離%,大きい順,短期の位置,0.48345,0.87343776,0.7798319,0.5129032,0.47450066,4,8,413
52週高値まで%,小さい順,高値からの距離,0.5029775,0.5671015,0.7360761,-0.22175789,0.014557838,5,7,362
52週高値まで%,大きい順,高値からの距離,0.58348787,0.6504209,0.39444757,-1.6309519,0.6145067,3,7,362
反転_安値切上げ,大きい順,反転の形,-0.028245986,0.07107234,0.2916329,-0.4945736,-1.2814484,6,8,413
反転_5日線上向き転換,大きい順,反転の形,0.060492814,0.112039804,0.29115057,1.5440426,3.4440098,7,8,413
反転_陰転陽,大きい順,反転の形,0.0011644363,-0.008652449,0.2275672,0.5483017,1.5365143,6,8,413
反転_25日線回復,大きい順,反転の形,-0.020169973,0.12168801,0.21291494,1.3058767,4.5360813,3,8,413
MA順位,小さい順,移動平均の並び,-0.080114186,-0.017102003,0.1785698,1.1187239,3.3265781,5,8,413
連続陽線,小さい順,陽線の連続,0.0064488053,0.10680795,0.14436674,-0.9818225,-1.0693989,4,8,413
連続陽線,大きい順,陽線の連続,-0.2179783,-0.05570829,0.090908766,0.27905083,3.0175571,5,8,413
MA順位,大きい順,移動平均の並び,0.11781669,0.042851925,0.059664726,-1.7396803,-1.9021568,4,8,413
反転_安値切上げ,小さい順,反転の形,-0.049547315,0.0714072,0.05345249,-0.40517616,-0.20844269,2,8,413
75日線乖離%,大きい順,中期の位置,0.1741463,0.19661546,0.015471935,-2.0818753,-6.577817,4,8,401
反転_陰転陽,小さい順,反転の形,-0.07972187,0.013352513,-0.064840555,-1.53056,-2.3581934,4,8,413
25日線乖離%,大きい順,押し目の深さ,0.58154553,0.61888707,-0.103572845,-1.469604,-4.02197,3,8,412
反転_25日線回復,小さい順,反転の形,-0.04646945,-0.12536776,-0.15788126,-1.5965204,-2.7919846,5,8,413
26週線乖離%,大きい順,週足の位置,-0.02862072,0.12036824,-0.17547965,-2.8814602,-7.885748,5,8,390
反転_5日線上向き転換,小さい順,反転の形,-0.10062045,-0.17621708,-0.1886344,-1.680902,-2.6901312,4,8,413
出来高比,大きい順,出来高の増減,-0.632289,-0.10294938,-0.19009352,1.3521376,2.2324982,3,8,412
13週線乖離%,大きい順,週足の位置,0.19617522,0.1413641,-0.21353674,-2.112762,-6.468218,4,8,404
RSI14,小さい順,過熱・過冷,0.04538411,-0.22926998,-0.708565,-2.033524,-0.72171783,4,8,413
26週線乖離%,小さい順,週足の位置,0.42498773,0.19039881,-0.7832842,-2.825117,2.1758194,3,8,390
