特徴量,向き,説明,後2週%,後1月%,後2月%,後半年%,後1年%,勝ち年,年数,週数
株価,小さい順,株価の水準,1.0693698,2.2774844,4.271497,12.6584835,25.07084,8,8,411
26週線乖離%,大きい順,週足の位置,0.15823925,0.43465805,0.6449666,0.613749,-2.2789183,5,8,388
13週線の向き,大きい順,週足の傾き,0.24196106,0.478086,0.575068,0.3470316,-1.5019855,5,8,397
13週線乖離%,大きい順,週足の位置,-0.030116916,0.20937014,0.5083897,1.4470387,0.20361137,5,8,402
75日線乖離%,大きい順,中期の位置,-0.04223585,0.24530268,0.48079157,1.2795186,-0.4144249,5,8,399
52週騰落%,小さい順,月足 過去1年の傾向,0.15366298,0.39022005,0.44138718,-1.5292032,-2.4844313,4,7,362
反転_陰転陽,大きい順,反転の形,0.04484749,0.15049064,0.23393655,0.73290014,1.2145386,5,8,411
反転_安値切上げ,小さい順,反転の形,0.006073296,0.09447479,0.22914076,0.8874874,2.0037594,4,8,411
12月線の向き,小さい順,月足の傾き,0.24927503,0.34149253,0.21401083,-1.3743062,-3.1968904,3,7,349
12月線乖離%,小さい順,月足の位置,0.17795265,0.37441468,0.20708156,-1.1834004,0.8900213,4,7,362
RSI14,大きい順,過熱・過冷,-0.081725895,0.12768805,0.18849301,1.1559467,1.5003271,4,8,411
時価総額億,小さい順,規模,0.11250532,0.26145852,0.18202567,-0.057465076,0.4351549,5,8,411
3年騰落%,小さい順,月足 全体の傾向,0.0030366778,0.16989636,0.1811285,-0.37932706,-2.7359128,3,5,254
5日線乖離%,大きい順,短期の位置,-0.04738897,0.36975062,0.15674591,-0.0130290985,-0.60292816,4,8,411
26週騰落%,小さい順,週足 過去半年の傾向,0.18866426,0.22084582,0.12829542,-0.7228737,1.6325254,4,8,389
反転_陰転陽,小さい順,反転の形,0.032738328,0.06690228,0.10539317,0.557261,1.2288322,4,8,411
反転_安値切上げ,大きい順,反転の形,-0.08712369,-0.009960651,0.09385252,0.24896908,0.73646164,3,8,411
25日線乖離%,大きい順,押し目の深さ,0.038284123,0.24503243,0.0925498,1.283886,0.20850372,3,8,410
反転_25日線回復,小さい順,反転の形,-0.0112627745,-0.00317204,0.076491594,0.5758176,1.5161018,4,8,411
連続陽線,小さい順,陽線の連続,-0.032707334,-0.00053298473,0.059036255,0.6471224,1.6612263,4,8,411
反転_5日線上向き転換,小さい順,反転の形,-0.00057423115,0.007179141,0.052642107,0.4733057,1.4325523,4,8,411
3年騰落%,大きい順,月足 全体の傾向,0.11362663,0.18521821,0.034520626,0.79874325,4.0322475,2,5,254
出来高比,大きい順,出来高の増減,0.036149025,0.072567105,-0.0026671886,0.36202478,-0.51186275,3,8,410
売買代金20日,小さい順,流動性,-0.15455347,-0.11801183,-0.030667782,1.1756644,1.6996784,3,8,411
52週高値まで%,小さい順,高値からの距離,0.032125533,-0.09758937,-0.031324387,0.35379696,0.4891901,4,7,362
反転_5日線上向き転換,大きい順,反転の形,0.0059627295,0.07267296,-0.03751278,0.51860857,1.0869379,3,8,411
20日ボラ%,小さい順,値動きの荒さ,-0.10987753,-0.0968349,-0.047545433,-0.7808628,-1.8411894,4,8,411
連続陽線,大きい順,陽線の連続,-0.18840137,-0.03752005,-0.06013298,0.4083562,1.2776136,3,8,411
26週騰落%,大きい順,週足 過去半年の傾向,0.023320794,0.13779736,-0.12742066,0.16866636,-4.6691856,4,8,389
52週安値から%,小さい順,安値からの距離,0.0028652549,0.04011631,-0.1568811,-1.059612,-0.057561874,4,7,362
反転_25日線回復,大きい順,反転の形,-0.15956044,-0.16780674,-0.20294952,-0.20920086,0.11186695,2,8,411
ATR14%,小さい順,値動きの荒さ,-0.1695238,-0.14846742,-0.21048594,-0.89068127,-2.0234413,4,8,411
MA順位,小さい順,移動平均の並び,-0.06785327,-0.24545944,-0.21631575,-1.5209942,-1.348669,3,8,411
26週線乖離%,小さい順,週足の位置,0.07135105,0.086679935,-0.2606337,-1.3974881,0.4342432,2,8,388
RSI14,小さい順,過熱・過冷,0.1826567,0.013709903,-0.26565993,-0.9530277,0.07126522,3,8,411
MA順位,大きい順,移動平均の並び,-0.10659474,-0.15452373,-0.32920337,-0.6139598,0.3776226,2,8,411
5日線乖離%,小さい順,短期の位置,0.040249646,-0.1741333,-0.48863566,-1.4070902,-1.2481003,4,8,411
12月線乖離%,大きい順,月足の位置,-0.14682996,-0.29816318,-0.54970217,-2.324702,-3.1400552,4,7,362
出来高比,小さい順,出来高の増減,-0.20714626,-0.36901623,-0.59035397,-1.5780463,-3.2723064,3,8,410
52週安値から%,大きい順,安値からの距離,-0.06447679,-0.14993882,-0.5952077,-3.828157,-8.060746,3,7,362
52週騰落%,大きい順,月足 過去1年の傾向,-0.08079851,-0.1576972,-0.6682632,-2.7997925,-5.3748727,4,7,362
時価総額億,大きい順,規模,-0.17228886,-0.4245528,-0.71064067,-2.1248446,-4.0050154,2,8,411
20日ボラ%,大きい順,値動きの荒さ,-0.19766432,-0.3138045,-0.72177565,-1.9004836,-6.2032814,2,8,411
75日線乖離%,小さい順,中期の位置,0.01462394,-0.24315298,-0.9397367,-1.9139876,-1.2247009,2,8,399
25日線乖離%,小さい順,押し目の深さ,0.08284682,-0.17970097,-0.970639,-1.9234781,-2.595747,1,8,410
13週線の向き,小さい順,週足の傾き,-0.23205411,-0.38742357,-0.9876206,-2.2751331,-1.9631195,2,8,397
ATR14%,大きい順,値動きの荒さ,-0.16003424,-0.2809205,-0.9962975,-2.729148,-8.518644,2,8,411
13週線乖離%,小さい順,週足の位置,0.015484512,-0.3654877,-1.1013755,-2.23973,-1.4762173,2,8,402
売買代金20日,大きい順,流動性,-0.38640857,-0.77763045,-1.2807953,-3.8375263,-6.9946046,1,8,411
52週高値まで%,大きい順,高値からの距離,-0.19715574,-0.47437972,-1.3548772,-4.4533815,-7.936939,2,7,362
12月線の向き,大きい順,月足の傾き,-0.43949753,-0.7967227,-1.8175507,-3.2362285,-4.2998075,2,7,349
株価,大きい順,株価の水準,-0.6332032,-1.1996808,-2.346189,-5.992252,-9.899431,0,8,411
