code,name,sector,market
1301,極洋,水産・農林業,プライム（内国株式）
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,グロース（内国株式）
1332,ニッスイ,水産・農林業,プライム（内国株式）
1333,Ｕｍｉｏｓ,水産・農林業,プライム（内国株式）
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報・通信業,グロース（内国株式）
1375,ユキグニファクトリー,水産・農林業,プライム（内国株式）
1376,カネコ種苗,水産・農林業,スタンダード（内国株式）
1377,サカタのタネ,水産・農林業,プライム（内国株式）
1379,ホクト,水産・農林業,プライム（内国株式）
137A,Ｃｏｃｏｌｉｖｅ,情報・通信業,グロース（内国株式）
1380,秋川牧園,水産・農林業,スタンダード（内国株式）
1381,アクシーズ,水産・農林業,スタンダード（内国株式）
1382,ホーブ,水産・農林業,スタンダード（内国株式）
1383,ベルグアース,水産・農林業,スタンダード（内国株式）
1384,ホクリヨウ,水産・農林業,スタンダード（内国株式）
138A,光フードサービス,小売業,グロース（内国株式）
1401,エムビーエス,建設業,グロース（内国株式）
1407,ウエストホールディングス,建設業,スタンダード（内国株式）
1414,ショーボンドホールディングス,建設業,プライム（内国株式）
1417,ミライト・ワン,建設業,プライム（内国株式）
1418,インターライフホールディングス,建設業,スタンダード（内国株式）
1419,タマホーム,建設業,プライム（内国株式）
141A,トライアルホールディングス,小売業,グロース（内国株式）
1420,サンヨーホームズ,建設業,スタンダード（内国株式）
1429,日本アクア,建設業,プライム（内国株式）
142A,ジンジブ,サービス業,グロース（内国株式）
1430,ファーストコーポレーション,建設業,スタンダード（内国株式）
1431,Ｌｉｂ　Ｗｏｒｋ,建設業,グロース（内国株式）
1433,ベステラ,建設業,プライム（内国株式）
1434,ＪＥＳＣＯホールディングス,建設業,スタンダード（内国株式）
1435,ｒｏｂｏｔ　ｈｏｍｅ,不動産業,スタンダード（内国株式）
1436,グリーンエナジー＆カンパニー,建設業,グロース（内国株式）
1438,岐阜造園,建設業,スタンダード（内国株式）
143A,イシン,サービス業,グロース（内国株式）
1443,技研ホールディングス,建設業,スタンダード（内国株式）
1444,ニッソウ,建設業,グロース（内国株式）
1446,キャンディル,建設業,スタンダード（内国株式）
1447,ＳＡＡＦホールディングス,建設業,グロース（内国株式）
1450,ＴＡＮＡＫＥＮ,建設業,スタンダード（内国株式）
145A,Ｌ　ｉｓ　Ｂ,情報・通信業,グロース（内国株式）
146A,コロンビア・ワークス,不動産業,スタンダード（内国株式）
147A,ソラコム,情報・通信業,グロース（内国株式）
148A,ハッチ・ワーク,情報・通信業,グロース（内国株式）
1491,中外鉱業,非鉄金属,スタンダード（内国株式）
149A,シンカ,情報・通信業,グロース（内国株式）
150A,ＪＳＨ,サービス業,グロース（内国株式）
1514,住石ホールディングス,鉱業,スタンダード（内国株式）
1515,日鉄鉱業,鉱業,プライム（内国株式）
1518,三井松島ホールディングス,その他製品,プライム（内国株式）
151A,ダイブグループ,サービス業,グロース（内国株式）
153A,カウリス,情報・通信業,グロース（内国株式）
155A,情報戦略テクノロジー,情報・通信業,グロース（内国株式）
156A,マテリアルグループ,サービス業,グロース（内国株式）
157A,グリーンモンスター,サービス業,グロース（内国株式）
1605,ＩＮＰＥＸ,鉱業,プライム（内国株式）
160A,アズパートナーズ,サービス業,スタンダード（内国株式）
1662,石油資源開発,鉱業,プライム（内国株式）
1663,Ｋ＆Ｏエナジーグループ,鉱業,プライム（内国株式）
166A,タスキホールディングス,不動産業,プライム（内国株式）
167A,リョーサン菱洋ホールディングス,卸売業,プライム（内国株式）
168A,イタミアート,その他製品,グロース（内国株式）
1711,ＳＤＳホールディングス,建設業,スタンダード（内国株式）
1716,第一カッター興業,建設業,スタンダード（内国株式）
1717,明豊ファシリティワークス,サービス業,スタンダード（内国株式）
1718,美樹工業,建設業,スタンダード（内国株式）
1719,安藤・間,建設業,プライム（内国株式）
1720,東急建設,建設業,プライム（内国株式）
1721,コムシスホールディングス,建設業,プライム（内国株式）
1723,日本電技,建設業,スタンダード（内国株式）
1724,シンクレイヤ,建設業,スタンダード（内国株式）
1736,オーテック,建設業,スタンダード（内国株式）
173A,ハンモック,情報・通信業,グロース（内国株式）
1758,太洋基礎工業,建設業,スタンダード（内国株式）
175A,Ｗｉｌｌ　Ｓｍａｒｔ,情報・通信業,グロース（内国株式）
1762,高松コンストラクショングループ,建設業,プライム（内国株式）
1764,工藤建設,建設業,スタンダード（内国株式）
1766,東建コーポレーション,建設業,プライム（内国株式）
1768,ソネック,建設業,スタンダード（内国株式）
1770,藤田エンジニアリング,建設業,スタンダード（内国株式）
